Stations_id	von_datum	bis_datum	Stationshoehe	geoBreite	geoLaenge	Stationsname	Bundesland
6273	20040601	20240126	36	525.075	118.551	Demker	Sachsen-Anhalt
6275	20040701	20240126	327	486.705	94.627	Notzingen	Baden-Württemberg
6305	20041201	20240126	193	512.061	104.978	Mühlhausen/Thüringen-Görmar	Thüringen
6310	20040801	20240126	1	541.049	138.239	Karlshagen	Mecklenburg-Vorpommern
6312	20041101	20200930	362	495.314	106.418	Markt	Bayern
6314	20050801	20240126	306	510.507	133.003	Nossen	Sachsen
6336	20051101	20240126	288	500.132	96.540	Lohr/Main-Halsbach	Bayern
6337	20040801	20240126	59	517.663	75.194	Lüdinghausen-Brochtrup	Nordrhein-Westfalen
6344	20041201	20240126	168	503.940	81.423	Runkel-Ennerich	Hessen
6346	20050201	20240126	531	482.070	112.035	Maisach-Galgen	Bayern
6347	20050301	20240126	305	500.579	102.972	Schonungen-Mainberg	Bayern
7075	20050201	20240126	429	487.020	118.493	Elsendorf-Horneck	Bayern
7099	20041101	20211004	187	520.111	103.966	Liebenburg-Othfresen	Niedersachsen
7105	20050601	20240126	719	478.350	126.548	Siegsdorf-Höll	Bayern
7106	20060901	20240126	105	520.714	84.565	Bielefeld-Deppendorf	Nordrhein-Westfalen
7135	19750601	19960701	565	479.655	96.804	Aulendorf-Haslach	Baden-Württemberg
7187	20041201	20240126	194	497.636	94.063	Freudenberg/Main-Boxtal	Baden-Württemberg
7244	19810101	20040930	62	531.424	130.319	Neuglobsow	Brandenburg
7298	20050701	20240126	4	545.268	90.425	Hattstedt	Schleswig-Holstein
7319	20050301	20240126	435	487.374	107.393	Donauwörth-Osterweiler	Bayern
7321	20050901	20240126	160	511.507	113.321	Olbersleben	Thüringen
7329	20051101	20240126	465	505.467	122.863	Treuen	Sachsen
7330	20051001	20240126	159	514.633	79.780	Arnsberg-Neheim	Nordrhein-Westfalen
7331	20050901	20240126	467	486.099	102.674	Hermaringen-Allewind	Baden-Württemberg
7341	20050716	20240126	119	500.900	87.862	Offenbach-Wetterpark	Hessen
7343	20060401	20240126	689	506.200	134.817	Deutschneudorf-Brüderwiese	Sachsen
7350	20060801	20240126	585	491.088	128.231	Prackenbach-Neuhäusl	Bayern
7351	20050908	20240126	115	533.176	134.175	Feldberg/Mecklenburg	Mecklenburg-Vorpommern
7364	20070101	20240126	74	516.818	123.053	Jeßnitz	Sachsen-Anhalt
7367	20071201	20240126	144	519.643	98.072	Alfeld	Niedersachsen
7368	20071101	20240126	312	510.007	103.621	Eisenach	Thüringen
7369	20071101	20240126	475	491.623	103.661	Feuchtwangen-Heilbronn	Bayern
7370	20061211	20240126	499	493.910	126.838	Waldmünchen	Bayern
7373	20060301	20240126	3	535.984	67.024	Borkum-Flugplatz	Niedersachsen
7374	20060301	20240126	46	520.813	69.409	Ahaus	Nordrhein-Westfalen
7389	20061201	20240126	83	527.461	138.427	Heckelberg	Brandenburg
7393	20100101	20240126	116	514.492	142.533	Hoyerswerda	Sachsen
7394	20060601	20240126	622	500.315	119.745	Wunsiedel-Schönbrunn	Bayern
7395	20071201	20240126	351	486.595	125.388	Gottfrieding	Bayern
7396	20080501	20240126	740	505.084	92.246	Hoherodskopf/Vogelsberg	Hessen
7403	20070330	20240126	672	477.955	100.325	Leutkirch-Herlazhofen	Baden-Württemberg
7410	20110201	20240126	350	507.513	90.224	Neu-Ulrichstein	Hessen
7412	20061001	20240126	340	500.083	94.238	Neuhütten/Spessart	Bayern
7419	20061201	20240126	389	506.610	120.756	Langenwetzendorf-Göttendorf	Thüringen
7420	20070401	20240126	246	511.044	117.112	Naumburg/Saale-Kreipitzsch	Sachsen-Anhalt
7424	20061201	20240126	457	477.724	129.073	Piding	Bayern
7427	20070901	20240126	17	540.188	99.255	Padenstedt	Schleswig-Holstein
7428	20070501	20240126	397	504.167	108.156	Veilsdorf	Thüringen
7431	20071101	20240126	604	480.130	115.524	Oberhaching-Laufzorn	Bayern
7432	20070501	20240126	71	526.423	106.628	Wittingen-Vorhop	Niedersachsen
13667	20061123	20080706	274	480.006	78.450	Freiburg-Mitte	Baden-Württemberg
