Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;lat;lon
1297;20041001;20240126;156;512.041;100.138;Eschwege;Hessen;51.2041;10.0138
1300;20040601;20240126;351;512.540;81.565;Eslohe;Nordrhein-Westfalen;51.254;8.1565
1303;19510101;20240126;150;514.041;69.677;Essen-Bredeney;Nordrhein-Westfalen;51.4041;6.9677
1327;20040801;20240126;147;507.119;67.905;Weilerswist-Lommersum;Nordrhein-Westfalen;50.7119;6.7905
1332;20050301;20240126;471;484.832;127.241;Falkenberg,Kr.Rottal-Inn;Bayern;48.4832;12.7241
1339;20020101;20240126;76;529.157;101.885;Faßberg;Niedersachsen;52.9157;10.1885
1341;20081201;20110929;0;546.000;111.500;Fehmarnbelt;Schleswig-Holstein;54.6;11.15
1346;19520101;20240126;1486;478.748;80.038;Feldberg/Schwarzwald;Baden-Württemberg;47.8748;8.0038
1357;20050301;20240126;655;499.807;118.376;Fichtelberg/Oberfranken-Hüttstadl;Bayern;49.9807;11.8376
1358;19510101;20240126;1213;504.283;129.536;Fichtelberg;Sachsen;50.4283;12.9536
1411;20070101;20240126;747;505.309;100.479;Birx/Rhön;Thüringen;50.5309;10.0479
1420;19810101;20240126;100;500.259;85.213;Frankfurt/Main;Hessen;50.0259;8.5213
1421;19620101;19840901;125;501.474;86.746;Frankfurt/Main;Hessen;50.1474;8.6746
1424;20080801;20240126;121;501.269;86.694;Frankfurt/Main-Westend;Hessen;50.1269;8.6694
1425;19480101;19620101;103;501.214;86.604;Frankfurt/Main;Hessen;50.1214;8.6604
1426;19610101;19850101;65;523.397;145.080;Frankfurt/Oder;Brandenburg;52.3397;14.508
1443;19510101;20240126;237;480.232;78.343;Freiburg;Baden-Württemberg;48.0232;7.8343
1451;20040601;20240126;2;538.277;92.493;Freiburg/Elbe;Niedersachsen;53.8277;9.2493
1468;19510101;20240126;797;484.538;84.090;Freudenstadt;Baden-Württemberg;48.4538;8.409
1473;20060101;20190228;414;491.869;113.080;Freystadt-Michelbach;Bayern;49.1869;11.308
1490;19650101;19770801;394;476.454;94.795;Friedrichshafen;Baden-Württemberg;47.6454;9.4795
1503;20121001;20240126;6;530.643;79.020;Friesoythe-Altenoythe;Niedersachsen;53.0643;7.902
1504;20020101;20240126;172;511.190;92.799;Fritzlar/Eder;Hessen;51.119;9.2799
1515;20021104;20030814;519;482.000;112.667;Fürstenfeldbruck;Bayern;48.2;11.2667
1526;20041101;20240126;242;505.668;96.532;Fulda-Horas;Hessen;50.5668;9.6532
1544;19510101;20240126;47;525.129;113.942;Gardelegen;Sachsen-Anhalt;52.5129;11.3942
1550;19480101;20240126;719;474.830;110.621;Garmisch-Partenkirchen;Bayern;47.483;11.0621
1572;20020101;20240126;80;509.593;60.392;Geilenkirchen-Neutevern;Nordrhein-Westfalen;50.9593;6.0392
1580;19460101;20240126;111;499.859;79.548;Geisenheim;Hessen;49.9859;7.9548
1583;19510101;19710101;823;507.719;137.732;Geisingberg;Sachsen;50.7719;13.7732
